method,e2e_m,e2e_m,e2e_m,e2e_socp,e2e_socp,e2e_socp,linreg,linreg,linreg,nominal,nominal,nominal
k,10,15,20,10,15,20,10,15,20,10,15,20
2015-01-02,0.999501547316032,0.9987390909510167,0.9991933124958567,0.9997154528006907,0.9991446982477018,0.9996378098201361,1.0020231753473203,1.0020231753473203,1.0020231753473203,1.0014942075945459,1.0015045799654405,1.0015045799654405
2015-01-05,0.9844359046420643,0.9833527928319203,0.9838414562515048,0.9845562604012891,0.9840120419082455,0.9844822284720721,0.9918527510402791,0.9918527510402791,0.9918527510402791,0.9928898889132121,0.992360810155731,0.992360810155731
2015-01-06,0.9787757571491278,0.9766294965127164,0.9769123495181838,0.9760980168935318,0.9753873653653524,0.9760013330015362,0.9952373331864739,0.9952373331864739,0.9952373331864739,0.9930789890134512,0.9930384661434856,0.9930384661434856
2015-01-07,1.012649325117891,1.0114060083931173,1.0134157122889007,1.0200642134818825,1.018574091683375,1.0198614293742487,1.0115420504215038,1.0115420504215038,1.0115420504215038,1.008064836398062,1.0072086252770776,1.0072086252770776
2015-01-08,1.0098067330566949,1.0080571550262183,1.009416735810306,1.0139557943237831,1.0126585392930914,1.0137792790478986,1.019152254460013,1.019152254460013,1.019152254460013,1.0157170921120982,1.0148619715923037,1.0148619715923037
2015-01-09,0.9970968606625503,0.9939389770866472,0.9944097072068186,0.995576676498555,0.9946321480729778,0.9954481949557554,1.0131916997461818,1.0131916997461818,1.0131916997461818,1.0076546074120487,1.0073340895136405,1.0073340895136405
2015-01-12,0.9988045901595053,0.9971758841491527,0.9988684522572325,1.0044338918245042,1.0029609141669196,1.0042334643626964,1.0094935632376716,1.0094935632376716,1.0094935632376716,1.0017670030605779,1.0015431341436345,1.0015431341436345
2015-01-13,0.993829226586744,0.9896600555794437,0.9921144853293207,0.997254047638529,0.9942383582710254,0.9968434886146978,1.0093673967620111,1.0093673967620111,1.0093673967620111,0.9987499066372357,0.9989241271534732,0.9989241271534732
2015-01-14,0.9808369625672928,0.9749691903936275,0.9772494717402499,0.9807172059185549,0.9773693346673574,0.9802613273469613,1.011287407785649,1.011287407785649,1.011287407785649,1.0002719524596688,0.9999026197001298,0.9999026197001298
2015-01-15,0.9616072323549271,0.9553353938994991,0.9572247071130091,0.9596940429514864,0.9567028514751044,0.9592868098552899,1.0144367535995666,1.0144367535995666,1.0144367535995666,0.9991320702590781,0.9990617629205442,0.9990617629205442
2015-01-16,0.9826097122855594,0.9764624488014645,0.9795370765013817,0.985246491043586,0.9813913781344051,0.9847214370178823,1.0241558376093853,1.0241558376093853,1.0241558376093853,1.0095955640349898,1.0092258505361462,1.0092258505361462
2015-01-20,0.9956768540399865,0.9888872919428329,0.9927047764828324,0.9979393159512834,0.9928200850374534,0.9972417281909242,1.0273289005519308,1.0273289005519308,1.0273289005519308,1.011858517867589,1.0118015373389848,1.0118015373389848
2015-01-21,0.9954681967894431,0.9886204655486869,0.9921893596255958,0.9971416286772095,0.9922596066445345,0.9964764519721219,1.0311851746920324,1.0311851746920324,1.0311851746920324,1.0147993791060017,1.0147584476106724,1.0147584476106724
2015-01-22,1.0015632318425085,0.995628755936936,0.9975071600385349,0.999389878243828,0.9962940218669144,0.9989687204014642,1.0404751221417672,1.0404751221417672,1.0404751221417672,1.0288296400554044,1.0278668467420045,1.0278668467420045
2015-01-23,1.0112078662255073,1.0055529467322828,1.0076169546714029,1.0104194828334043,1.0072941851798645,1.0099943215323086,1.0376550003258105,1.0376550003258105,1.0376550003258105,1.0286499416330013,1.0273050543208264,1.0273050543208264
2015-01-26,1.0214475331516772,1.0152565375325848,1.017503615228153,1.0197805558808846,1.0162980378381898,1.0193066800729977,1.039911539916298,1.039911539916298,1.039911539916298,1.0321128984559627,1.030561478927351,1.030561478927351
2015-01-27,1.015103288942202,1.0094508662786708,1.0116331407254242,1.0156241735460527,1.0127842221215981,1.0152379633054185,1.035603599766531,1.035603599766531,1.035603599766531,1.0257823463684448,1.0241372816403265,1.0241372816403265
2015-01-28,1.0096711574791384,1.003238463080398,1.0040902215305376,1.003585028986002,1.0012880049241344,1.0032728426041717,1.0282381175650113,1.0282381175650113,1.0282381175650113,1.0225014249720237,1.020426637530166,1.020426637530166
2015-01-29,1.0197492527065968,1.0144890099020016,1.0152040133457514,1.016092707484745,1.0142467134996012,1.0158420102534975,1.038280054455578,1.038280054455578,1.038280054455578,1.0303294239627305,1.0285792544120316,1.0285792544120316
