cardinality,method,gap_to_exact,bound_violation,topk_overlap,rounded_gap_to_exact,relax_solve_time
10,sdp,-0.07691348703567334,0.07691348703567334,0.8875000000000001,0.004757410288519662,1.0158238114581764
15,sdp,-0.05664980806070838,0.05664980806070838,0.8805555555555555,0.0015384461042576728,1.0355079161254253
20,sdp,-0.045758641325452355,0.045758641325452355,0.8291666666666666,0.000233873715081485,1.002143064250049
