method,final_exact_val_sharpe,best_exact_val_sharpe,bad_solves,final_beta_drift,final_psi_drift
bigm,1.1895149345830396,1.1895149345830396,0,0.7187145187580696,0.0056540994526913
sdp,0.6085867206851614,0.6085867206851614,0,0.9174318046454628,0.0099218351954025
socp,1.3747033548097225,1.3747033548097225,0,0.759937852960063,0.0076795991125347
